Azimuth,Gelaende,Oberflaeche,current,MEZ,MESZ,Sommersonnwende,Wintersonnwende
0,9.9,10.2, , , , , 
1,10.1,10.3, , , , , 
2,10.3,10.7, , , , , 
3,10.5,10.7, , , , , 
4,10.8,11.1, , , , , 
5,11,11.4, , , , , 
6,11.4,12.1, , , , , 
7,11.6,12.4, , , , , 
8,11.8,12.6, , , , , 
9,12.1,12.8, , , , , 
10,12.3,13, , , , , 
11,12.7,13.3, , , , , 
12,13.1,13.7, , , , , 
13,13.7,14.1, , , , , 
14,13.9,14.4, , , , , 
15,13.9,14.4, , , , , 
16,13.9,14.5, , , , , 
17,14.1,14.6, , , , , 
18,14.2,14.7, , , , , 
19,14.3,14.8, , , , , 
20,14.2,14.7, , , , , 
21,14.3,14.7, , , , , 
22,14.7,15, , , , , 
23,15,15.3, , , , , 
24,15.1,15.2, , , , , 
25,15,15.4, , , , , 
26,15.1,15.3, , , , , 
27,15.2,15.4, , , , , 
28,15.2,15.4, , , , , 
29,15.2,15.5, , , , , 
30,15.4,16, , , , , 
31,15.6,16.2, , , , , 
32,15.7,16.1, , , , , 
33,15.7,16.3, , , , , 
34,15.9,16.4, , , , , 
35,16.1,16.5, , , , , 
36,16.2,16.8, , , , , 
37,16.3,16.8, , , , , 
38,16.5,16.9, , , , , 
39,16.9,17.3, , , , , 
40,17.2,17.6, , , , , 
41,17.3,17.6, , , , , 
42,17.3,17.6, , , , , 
43,17.4,17.6, , , , , 
44,17.6,17.9, , , , , 
45,17.8,18, , , , , 
46,17.7,18, , , , , 
47,17.6,17.9, , , , , 
48,17.5,17.9, , , , , 
49,17.3,17.8, , , , , 
50,17,17.3, , , , , 
51,16.8,17, , , , , 
52,16.6,16.8, , , , , 
53,16.4,16.8, , , ,-0.7, 
54,16.3,16.7, , , ,0, 
55,16.4,16.4, , , ,0.8, 
56,16.4,16.4, , , ,1.5, 
57,16.3,16.4, , , ,2.3, 
58,16.4,16.4, , , ,3.1, 
59,16.7,16.7, , , ,3.9, 
60,16.8,16.8, , , ,4.7, 
61,16.9,16.9, , , ,5.6, 
62,17,17, , , ,6.4, 
63,17.1,17.2, , , ,7.3, 
64,17.1,17.1, , , ,8.1, 
65,16.6,16.6, , , ,9, 
66,16,16, , , ,9.9, 
67,15.4,15.6, , , ,10.8, 
68,14.8,14.9, , , ,11.7, 
69,14.6,14.6, , , ,12.6, 
70,14.5,14.5, , , ,13.6, 
71,14.3,14.5, , , ,14.5, 
72,14.1,14.3, , , ,15.5, 
73,13.8,14.1, , , ,16.4, 
74,13.6,13.8, , , ,17.4, 
75,13.5,13.7, , , ,18.3, 
76,13.5,13.8, , , ,19.3, 
77,13.4,13.7, , , ,20.3, 
78,13.3,13.6, , , ,21.2, 
79,13.2,13.6, , , ,22.2, 
80,13.1,13.8, , , ,23.2, 
81,13.1,13.6, , , ,24.1, 
82,13,13.6,-2.3,5:36,6:36,25.1, 
83,12.9,13.4,-1.4,5:42,6:42,26.1, 
84,12.8,13.1,-0.5,5:47,6:47,27, 
85,12.7,13,0.4,5:53,6:53,28, 
86,12.5,12.8,1.3,5:58,6:58,28.9, 
87,12.3,12.5,2.2,6:04,7:04,29.9, 
88,11.9,12.1,3.2,6:09,7:09,30.8, 
89,11.6,11.9,4.1,6:14,7:14,31.8, 
90,11.2,11.6,5,6:20,7:20,32.7, 
91,10.9,11.3,5.9,6:25,7:25,33.6, 
92,10.6,12.1,6.8,6:31,7:31,34.5, 
93,10.4,15.3,7.7,6:36,7:36,35.4, 
94,10.3,18.4,8.6,6:42,7:42,36.3, 
95,9.9,21.5,9.6,6:47,7:47,37.1, 
96,9.6,24,10.5,6:52,7:52,38, 
97,9.3,25.2,11.3,6:58,7:58,38.8, 
98,8.7,25.7,12.2,7:03,8:03,39.7, 
99,8.6,25.8,13.1,7:08,8:08,40.5, 
100,8.6,24.6,14,7:13,8:13,41.3, 
101,8.6,23.6,14.9,7:19,8:19,42.1, 
102,8.7,23.1,15.7,7:24,8:24,42.8, 
103,8.9,22.3,16.6,7:29,8:29,43.6, 
104,9.2,19.4,17.4,7:34,8:34,44.3, 
105,9.2,18.4,18.2,7:39,8:39,45.1, 
106,9.2,18.9,19,7:44,8:44,45.8, 
107,9.2,19.3,19.8,7:49,8:49,46.5, 
108,9.2,19.5,20.6,7:54,8:54,47.1, 
109,9.1,19.6,21.4,7:59,8:59,47.8, 
110,8.9,19.7,22.2,8:04,9:04,48.4, 
111,8.7,19.5,23,8:08,9:08,49.1, 
112,8.8,21.8,23.7,8:13,9:13,49.7, 
113,8.8,23.9,24.4,8:18,9:18,50.3, 
114,9,25.4,25.2,8:23,9:23,50.9, 
115,9.1,26.7,25.9,8:27,9:27,51.4, 
116,9.3,26.4,26.6,8:32,9:32,52, 
117,9.3,25.5,27.2,8:36,9:36,52.5, 
118,9.2,23.5,27.9,8:41,9:41,53, 
119,8.8,21.2,28.6,8:45,9:45,53.6, 
120,8.5,18.7,29.2,8:49,9:49,54, 
121,8.3,17,29.8,8:54,9:54,54.5, 
122,8.1,15.6,30.4,8:58,9:58,55, 
123,8,13.2,31,9:02,10:02,55.4, 
124,8,10.8,31.6,9:06,10:06,55.9, 
125,8.4,8.9,32.2,9:10,10:10,56.3,-0.8
126,8.4,8.4,32.7,9:14,10:14,56.7,0
127,7.9,7.9,33.3,9:18,10:18,57.1,0.7
128,7.3,7.4,33.8,9:22,10:22,57.5,1.4
129,6.8,6.9,34.3,9:26,10:26,57.9,2.1
130,6.6,6.6,34.8,9:30,10:30,58.3,2.8
131,6.4,6.4,35.3,9:34,10:34,58.6,3.5
132,6.6,6.6,35.8,9:38,10:38,59,4.2
133,7.1,7.1,36.3,9:42,10:42,59.3,4.8
134,7.1,7.1,36.7,9:45,10:45,59.6,5.4
135,6.7,6.7,37.2,9:49,10:49,59.9,6.1
136,6.7,6.7,37.6,9:53,10:53,60.2,6.7
137,6.7,6.7,38,9:56,10:56,60.5,7.2
138,6.8,6.8,38.4,10:00,11:00,60.8,7.8
139,6.8,6.8,38.8,10:03,11:03,61.1,8.4
140,6.6,6.6,39.2,10:07,11:07,61.3,8.9
141,6.5,10.9,39.6,10:10,11:10,61.6,9.4
142,6.1,12.5,39.9,10:13,11:13,61.8,9.9
143,6.1,15.2,40.3,10:17,11:17,62.1,10.4
144,6.1,14.9,40.6,10:20,11:20,62.3,10.9
145,6.1,14.7,40.9,10:23,11:23,62.5,11.4
146,6.1,12.8,41.2,10:27,11:27,62.7,11.8
147,5.7,10.7,41.5,10:30,11:30,62.9,12.3
148,5.3,8,41.8,10:33,11:33,63.1,12.7
149,5.8,5.8,42.1,10:36,11:36,63.3,13.1
150,5.7,5.7,42.4,10:40,11:40,63.5,13.5
151,5.5,5.5,42.7,10:43,11:43,63.7,13.9
152,5.2,5.2,42.9,10:46,11:46,63.8,14.2
153,5.2,5.2,43.1,10:49,11:49,64,14.6
154,5.3,5.3,43.4,10:52,11:52,64.1,14.9
155,5.1,5.1,43.6,10:55,11:55,64.3,15.2
156,4.9,5.2,43.8,10:58,11:58,64.4,15.5
157,5.2,5.5,44,11:01,12:01,64.6,15.8
158,5.5,5.9,44.2,11:04,12:04,64.7,16.1
159,5.8,6.1,44.4,11:07,12:07,64.8,16.4
160,6.1,6.5,44.6,11:10,12:10,64.9,16.6
