Azimuth,Gelaende,Oberflaeche,current,MEZ,MESZ,Sommersonnwende,Wintersonnwende
0,24.5,24.5, , , , , 
1,23.7,23.7, , , , , 
2,23.3,23.3, , , , , 
3,23.2,23.2, , , , , 
4,23.3,23.3, , , , , 
5,23.4,23.4, , , , , 
6,23.4,23.4, , , , , 
7,23.3,23.3, , , , , 
8,22.9,22.9, , , , , 
9,22.5,22.5, , , , , 
10,22.2,22.5, , , , , 
11,21.7,23.1, , , , , 
12,21.9,23, , , , , 
13,22.2,23.2, , , , , 
14,22.3,23.5, , , , , 
15,22.6,23.5, , , , , 
16,22.7,23.5, , , , , 
17,22.7,23.6, , , , , 
18,22.6,24, , , , , 
19,22.7,24, , , , , 
20,22.7,24.1, , , , , 
21,22.7,24.3, , , , , 
22,22.8,24.3, , , , , 
23,23,24.4, , , , , 
24,23.1,24.3, , , , , 
25,23.1,24.4, , , , , 
26,23,24.6, , , , , 
27,23.2,24.7, , , , , 
28,23.4,24.9, , , , , 
29,23.7,25.1, , , , , 
30,23.9,25.2, , , , , 
31,24,25.5, , , , , 
32,24,25.5, , , , , 
33,24,25.3, , , , , 
34,24,25.2, , , , , 
35,23.9,25, , , , , 
36,23.9,24.7, , , , , 
37,23.8,24.9, , , , , 
38,23.8,24.6, , , , , 
39,23.8,24.4, , , , , 
40,23.7,24.5, , , , , 
41,23.5,24.2, , , , , 
42,23.1,23.9, , , , , 
43,22.7,23.8, , , , , 
44,22.2,23.4, , , , , 
45,21.5,22.8, , , , , 
46,21,22.3, , , , , 
47,20.5,21.9, , , , , 
48,20,21.5, , , , , 
49,19.5,20.9, , , , , 
50,19,20.6, , , , , 
51,18.5,20.2, , , , , 
52,18.1,19.8, , , , , 
53,17.7,19.2, , , ,-0.7, 
54,17.2,18.8, , , ,0, 
55,16.7,18.5, , , ,0.7, 
56,16.3,17.9, , , ,1.5, 
57,16,17.4, , , ,2.3, 
58,15.7,17.2, , , ,3.1, 
59,15.2,16.6, , , ,3.9, 
60,14.8,15.9, , , ,4.7, 
61,14.5,15.6, , , ,5.6, 
62,14.1,15.2, , , ,6.4, 
63,13.7,14.9, , , ,7.3, 
64,13.1,14.5, , , ,8.1, 
65,12.5,13.6, , , ,9, 
66,11.6,13.1, , , ,9.9, 
67,10.7,12.1, , , ,10.8, 
68,9.9,11.6, , , ,11.7, 
69,9.2,10.5, , , ,12.6, 
70,8.6,9.8, , , ,13.6, 
71,7.8,9.3, , , ,14.5, 
72,8,8, , , ,15.5, 
73,9.3,9.3, , , ,16.4, 
74,10,10, , , ,17.4, 
75,10.7,10.7, , , ,18.3, 
76,12,12, , , ,19.3, 
77,12.9,12.9, , , ,20.3, 
78,13,13.1, , , ,21.2, 
79,13.7,13.7, , , ,22.2, 
80,13.7,13.7, , , ,23.2, 
81,13.5,13.5, , , ,24.1, 
82,13.2,13.2, , , ,25.1, 
83,13.9,13.9, , , ,26.1, 
84,14.6,14.6, , , ,27, 
85,14.5,14.5, , , ,28, 
86,14.7,14.7, , , ,29, 
87,14.6,14.6, , , ,29.9, 
88,14.4,14.4, , , ,30.9, 
89,14.2,14.2, , , ,31.8, 
90,14.1,14.1, , , ,32.7, 
91,13.8,13.8, , , ,33.6, 
92,13.4,13.4, , , ,34.5, 
93,13.5,13.5, , , ,35.4, 
94,13.7,13.7, , , ,36.3, 
95,13.6,13.6, , , ,37.2, 
96,12.6,12.6, , , ,38, 
97,11.4,11.4, , , ,38.9, 
98,10.5,10.5, , , ,39.7, 
99,9.4,9.4, , , ,40.5, 
100,8.6,8.6, , , ,41.3, 
101,7.6,7.6, , , ,42.1, 
102,6.9,6.9, , , ,42.9, 
103,6.4,6.4, , , ,43.6, 
104,6.3,6.3, , , ,44.4, 
105,6.1,6.1, , , ,45.1, 
106,5.6,5.6, , , ,45.8, 
107,5.3,5.3, , , ,46.5, 
108,4.6,4.7, , , ,47.2, 
109,4.4,4.4, , , ,47.8, 
110,4.6,4.6, , , ,48.5, 
111,4.6,4.7, , , ,49.1, 
112,5.3,5.3, , , ,49.7, 
113,5.9,5.9, , , ,50.3, 
114,6.9,6.9, , , ,50.9, 
115,7.8,7.8, , , ,51.5, 
116,8.3,8.3, , , ,52, 
117,8.3,8.3, , , ,52.6, 
118,8.3,8.3,-1.9,7:23,8:23,53.1, 
119,8,8,-1.1,7:28,8:28,53.6, 
120,8.5,8.5,-0.3,7:34,8:34,54.1, 
121,8.4,8.4,0.5,7:39,8:39,54.6, 
122,8.5,8.5,1.3,7:45,8:45,55, 
123,9.2,9.2,2.1,7:50,8:50,55.5, 
124,9.7,9.7,2.8,7:55,8:55,55.9, 
125,9.8,9.8,3.6,8:00,9:00,56.4,-0.7
126,10.7,10.7,4.3,8:06,9:06,56.8,0
127,11.3,11.3,5,8:11,9:11,57.2,0.7
128,11.5,11.5,5.7,8:16,9:16,57.6,1.5
129,11.5,11.5,6.4,8:21,9:21,57.9,2.2
130,11.5,11.5,7,8:26,9:26,58.3,2.9
131,11.4,11.4,7.7,8:31,9:31,58.7,3.5
132,11,11,8.3,8:36,9:36,59,4.2
133,11.5,11.5,8.9,8:41,9:41,59.3,4.8
134,11.5,11.5,9.5,8:46,9:46,59.7,5.5
135,11.8,11.8,10.1,8:51,9:51,60,6.1
136,11.9,11.9,10.7,8:56,9:56,60.3,6.7
137,12.7,12.7,11.3,9:01,10:01,60.6,7.3
138,13.6,13.6,11.8,9:06,10:06,60.8,7.8
139,14.4,14.4,12.3,9:10,10:10,61.1,8.4
140,14.6,14.6,12.9,9:15,10:15,61.4,8.9
141,14.3,14.3,13.4,9:20,10:20,61.6,9.5
142,13.4,13.4,13.8,9:24,10:24,61.9,10
143,12.1,12.1,14.3,9:29,10:29,62.1,10.5
144,11.2,11.2,14.8,9:33,10:33,62.3,10.9
145,11,11,15.2,9:38,10:38,62.6,11.4
146,11.2,11.2,15.7,9:42,10:42,62.8,11.9
147,11.4,11.4,16.1,9:47,10:47,63,12.3
148,11.6,11.6,16.5,9:51,10:51,63.2,12.7
149,12.2,12.2,16.9,9:56,10:56,63.4,13.1
150,12.8,12.8,17.2,10:00,11:00,63.5,13.5
151,13.4,13.4,17.6,10:04,11:04,63.7,13.9
152,13.5,13.5,17.9,10:09,11:09,63.9,14.3
153,13.4,13.4,18.3,10:13,11:13,64,14.6
154,13,13,18.6,10:17,11:17,64.2,15
155,12.9,12.9,18.9,10:22,11:22,64.3,15.3
156,12.4,12.4,19.2,10:26,11:26,64.5,15.6
157,11.7,11.7,19.5,10:30,11:30,64.6,15.9
158,10.8,10.8,19.8,10:34,11:34,64.7,16.2
159,9.4,9.4,20,10:38,11:38,64.8,16.4
160,8.8,8.8,20.3,10:42,11:42,65,16.7
161,8.3,8.3,20.5,10:47,11:47,65.1,16.9
162,8.1,8.1,20.7,10:51,11:51,65.2,17.2
163,7.6,7.6,20.9,10:55,11:55,65.3,17.4
164,7.2,7.4,21.1,10:59,11:59,65.4,17.6
165,7.3,7.9,21.3,11:03,12:03,65.4,17.8
166,7.7,7.9,21.5,11:07,12:07,65.5,18
167,8,8.2,21.6,11:11,12:11,65.6,18.1
168,8.1,8.6,21.8,11:15,12:15,65.7,18.3
169,8.5,8.9,21.9,11:19,12:19,65.7,18.4
170,8.9,9.3,22,11:23,12:23,65.8,18.5
171,9.4,9.8,22.1,11:27,12:27,65.8,18.7
172,10,10.2,22.2,11:31,12:31,65.9,18.8
173,10,10.5,22.3,11:35,12:35,65.9,18.9
174,10.3,10.8,22.4,11:39,12:39,65.9,18.9
175,10.8,11.8,22.5,11:43,12:43,66,19
176,11.3,11.8,22.5,11:47,12:47,66,19.1
177,11.8,12.2,22.6,11:50,12:50,66,19.1
178,12,12.5,22.6,11:54,12:54,66,19.1
179,12,12.4,22.6,11:58,12:58,66,19.1
180,12.7,13.1,22.6,12:02,13:02,66,19.2
181,12.9,13.5,22.6,12:06,13:06,66,19.1
182,13.2,13.7,22.6,12:10,13:10,66,19.1
183,13.4,13.9,22.6,12:14,13:14,66,19.1
184,13.7,14.1,22.5,12:18,13:18,66,19.1
185,13.8,14.4,22.5,12:22,13:22,66,19
186,14.1,14.6,22.4,12:26,13:26,65.9,18.9
187,14.4,14.8,22.3,12:30,13:30,65.9,18.9
188,14.7,15.1,22.2,12:34,13:34,65.9,18.8
189,14.9,15.4,22.1,12:38,13:38,65.8,18.7
190,15.1,15.6,22,12:42,13:42,65.8,18.5
191,15.4,15.8,21.9,12:46,13:46,65.7,18.4
192,15.6,16,21.8,12:50,13:50,65.7,18.3
193,15.6,16,21.6,12:54,13:54,65.6,18.1
194,15.6,16.1,21.5,12:58,13:58,65.5,18
195,15.6,16.1,21.3,13:02,14:02,65.4,17.8
196,15.6,16,21.1,13:06,14:06,65.4,17.6
197,15.5,16.1,20.9,13:10,14:10,65.3,17.4
198,15.5,16.1,20.7,13:14,14:14,65.2,17.2
199,15.6,16.2,20.5,13:18,14:18,65.1,16.9
200,15.8,16.2,20.3,13:22,14:22,65,16.7
201,15.9,16.4,20,13:26,14:26,64.8,16.4
202,16,16.4,19.8,13:30,14:30,64.7,16.2
203,16.1,16.5,19.5,13:35,14:35,64.6,15.9
204,16.2,16.7,19.2,13:39,14:39,64.5,15.6
205,16.3,16.7,18.9,13:43,14:43,64.3,15.3
206,16.5,16.9,18.6,13:47,14:47,64.2,15
207,16.6,17.1,18.3,13:51,14:51,64,14.6
208,16.6,17.1,17.9,13:56,14:56,63.9,14.3
209,16.6,17,17.6,14:00,15:00,63.7,13.9
210,16.5,17,17.2,14:04,15:04,63.5,13.5
211,16.6,16.9,16.9,14:09,15:09,63.4,13.1
212,16.8,17.2,16.5,14:13,15:13,63.2,12.7
213,17,17.4,16.1,14:18,15:18,63,12.3
214,17,17.5,15.7,14:22,15:22,62.8,11.9
215,17.1,17.6,15.2,14:27,15:27,62.6,11.4
216,17.2,17.7,14.8,14:31,15:31,62.3,10.9
217,17.4,17.8,14.3,14:36,15:36,62.1,10.5
218,17.5,17.9,13.8,14:40,15:40,61.9,10
219,17.6,17.9,13.4,14:45,15:45,61.6,9.5
220,17.7,18,12.9,14:50,15:50,61.4,8.9
221,17.8,18,12.3,14:54,15:54,61.1,8.4
222,18,18,11.8,14:59,15:59,60.8,7.8
223,18.3,18.3,11.3,15:04,16:04,60.6,7.3
224,18.8,18.8,10.7,15:09,16:09,60.3,6.7
225,18.9,18.9,10.1,15:13,16:13,60,6.1
226,18.8,18.8,9.5,15:18,16:18,59.7,5.5
227,18.7,18.7,8.9,15:23,16:23,59.3,4.8
228,18.4,18.4,8.3,15:28,16:28,59,4.2
229,18.1,18.1,7.7,15:33,16:33,58.7,3.5
230,18,18,7,15:38,16:38,58.3,2.9
231,17.5,17.5,6.4,15:43,16:43,57.9,2.2
232,17.1,17.1,5.7,15:48,16:48,57.6,1.5
233,16.7,16.7,5,15:54,16:54,57.2,0.7
234,16.6,16.6,4.3,15:59,16:59,56.8,0
235,16.6,16.8,3.6,16:04,17:04,56.4,-0.7
236,16.5,16.8,2.8,16:09,17:09,55.9, 
