Azimuth,Gelaende,Oberflaeche,current,MEZ,MESZ,Sommersonnwende,Wintersonnwende
0,9.9,10.2, , , , , 
1,10,10.2, , , , , 
2,10.3,10.6, , , , , 
3,10.5,10.8, , , , , 
4,10.8,11.1, , , , , 
5,11,11.4, , , , , 
6,11.4,12.1, , , , , 
7,11.6,12.4, , , , , 
8,11.8,12.6, , , , , 
9,12.1,12.8, , , , , 
10,12.3,13, , , , , 
11,12.7,13.3, , , , , 
12,13.1,13.7, , , , , 
13,13.7,14.1, , , , , 
14,13.8,14.3, , , , , 
15,13.9,14.4, , , , , 
16,13.9,14.5, , , , , 
17,14.1,14.6, , , , , 
18,14.2,14.7, , , , , 
19,14.2,14.7, , , , , 
20,14.2,14.7, , , , , 
21,14.3,14.7, , , , , 
22,14.7,15, , , , , 
23,15,15.3, , , , , 
24,15.1,15.2, , , , , 
25,15,15.3, , , , , 
26,15.1,15.2, , , , , 
27,15.2,15.3, , , , , 
28,15.2,15.3, , , , , 
29,15.2,15.5, , , , , 
30,15.4,15.9, , , , , 
31,15.6,16.2, , , , , 
32,15.6,16.1, , , , , 
33,15.7,16.3, , , , , 
34,15.9,16.4, , , , , 
35,16.1,16.5, , , , , 
36,16.2,16.7, , , , , 
37,16.3,16.8, , , , , 
38,16.5,16.9, , , , , 
39,16.9,17.3, , , , , 
40,17.2,17.5, , , , , 
41,17.2,17.6, , , , , 
42,17.3,17.6, , , , , 
43,17.3,17.6, , , , , 
44,17.6,17.9, , , , , 
45,17.8,18, , , , , 
46,17.7,18, , , , , 
47,17.5,17.9, , , , , 
48,17.5,17.9, , , , , 
49,17.3,17.8, , , , , 
50,17,17.3, , , , , 
51,16.8,17.1, , , , , 
52,16.5,16.8, , , , , 
53,16.4,16.7, , , ,-0.7, 
54,16.3,16.7, , , ,0, 
55,16.4,16.4, , , ,0.8, 
56,16.4,16.4, , , ,1.5, 
57,16.3,16.3, , , ,2.3, 
58,16.4,16.4, , , ,3.1, 
59,16.7,16.7, , , ,3.9, 
60,16.8,16.8, , , ,4.7, 
61,16.9,16.9, , , ,5.6, 
62,16.9,17, , , ,6.4, 
63,17.1,17.1, , , ,7.3, 
64,17.1,17.1, , , ,8.1, 
65,16.6,16.6, , , ,9, 
66,16,16, , , ,9.9, 
67,15.4,15.7, , , ,10.8, 
68,14.8,14.9, , , ,11.7, 
69,14.6,14.6, , , ,12.6, 
70,14.4,14.5, , , ,13.6, 
71,14.3,14.4, , , ,14.5, 
72,14,14.3, , , ,15.5, 
73,13.8,14, , , ,16.4, 
74,13.6,13.7, , , ,17.4, 
75,13.4,13.7, , , ,18.3, 
76,13.4,13.9, , , ,19.3, 
77,13.3,13.9, , , ,20.3, 
78,13.3,13.6, , , ,21.2, 
79,13.2,13.5, , , ,22.2, 
80,13.1,13.8, , , ,23.2, 
81,13.1,13.6, , , ,24.1, 
82,13,13.5, , , ,25.1, 
83,12.8,13.4, , , ,26.1, 
84,12.8,13.1, , , ,27, 
85,12.7,12.9, , , ,28, 
86,12.5,12.7, , , ,28.9, 
87,12.2,12.4, , , ,29.9, 
88,11.9,12.1, , , ,30.8, 
89,11.6,11.9, , , ,31.8, 
90,11.2,11.6, , , ,32.7, 
91,10.9,11.2, , , ,33.6, 
92,10.6,11, , , ,34.5, 
93,10.4,10.7, , , ,35.4, 
94,10.2,10.6, , , ,36.3, 
95,9.9,12.7, , , ,37.1, 
96,9.6,15.1, , , ,38, 
97,9.2,18.2, , , ,38.8, 
98,8.7,21.3, , , ,39.7, 
99,8.5,23.9, , , ,40.5, 
100,8.5,24.4, , , ,41.3, 
101,8.5,24.9, , , ,42.1, 
102,8.6,24.6, , , ,42.8, 
103,8.8,23.5, , , ,43.6, 
104,9.1,22.5, , , ,44.3, 
105,9.2,21.8, , , ,45.1, 
106,9.2,21.1, , , ,45.8, 
107,9.1,17.9, , , ,46.5, 
108,9.1,13.7, , , ,47.1, 
109,9,15.2, , , ,47.8, 
110,8.9,15.7, , , ,48.4, 
111,8.7,16.2, , , ,49.1, 
112,8.7,16.7, , , ,49.7, 
113,8.7,16.9, , , ,50.3, 
114,9,17.1, , , ,50.9, 
115,9.1,19.6, , , ,51.4, 
116,9.2,22.1, , , ,52, 
117,9.3,23.7, , , ,52.5, 
118,9.3,25.1, , , ,53, 
119,8.8,25.5, , , ,53.6, 
120,8.4,24.8, , , ,54, 
121,8.3,23.5, , , ,54.5, 
