Azimuth,Gelaende,Oberflaeche,current,MEZ,MESZ,Sommersonnwende,Wintersonnwende
0,23.6,24.2, , , , , 
1,23.3,24.7, , , , , 
2,23.4,24.6, , , , , 
3,23.5,24.8, , , , , 
4,23.5,25.1, , , , , 
5,23.5,25, , , , , 
6,23.1,24.9, , , , , 
7,23,25, , , , , 
8,23.3,25.8, , , , , 
9,23.7,25.8, , , , , 
10,23.8,25.8, , , , , 
11,23.9,25.5, , , , , 
12,23.9,25.7, , , , , 
13,23.9,25.8, , , , , 
14,23.9,25.9, , , , , 
15,24.2,25.9, , , , , 
16,24.4,25.9, , , , , 
17,24.4,26.1, , , , , 
18,24.4,26, , , , , 
19,24.4,26, , , , , 
20,24.6,26.2, , , , , 
21,24.8,26.4, , , , , 
22,25.1,26.7, , , , , 
23,25.4,26.7, , , , , 
24,25.6,27, , , , , 
25,25.6,27.2, , , , , 
26,25.6,27.1, , , , , 
27,25.7,26.9, , , , , 
28,25.6,27, , , , , 
29,25.6,26.8, , , , , 
30,25.6,26.5, , , , , 
31,25.6,26.7, , , , , 
32,25.6,26.5, , , , , 
33,25.6,26.2, , , , , 
34,25.6,26.4, , , , , 
35,25.4,26.1, , , , , 
36,25.1,26.1, , , , , 
37,24.8,25.6, , , , , 
38,24.4,25.7, , , , , 
39,23.9,25.3, , , , , 
40,23.3,24.7, , , , , 
41,22.8,24.3, , , , , 
42,22.3,23.9, , , , , 
43,21.9,23.6, , , , , 
44,21.4,23, , , , , 
45,21,22.7, , , , , 
46,20.5,22.3, , , , , 
47,20.1,21.9, , , , , 
48,19.8,21.4, , , , , 
49,19.3,21.1, , , , , 
50,18.9,20.7, , , , , 
51,18.5,20.3, , , , , 
52,18.1,19.8, , , , , 
53,17.8,19.4, , , ,-0.7, 
54,17.5,19.1, , , ,0, 
55,17,18.5, , , ,0.7, 
56,16.7,18, , , ,1.5, 
57,16.4,17.5, , , ,2.3, 
58,16.1,17.3, , , ,3.1, 
59,15.7,17.1, , , ,3.9, 
60,15.2,16.7, , , ,4.7, 
61,14.7,16, , , ,5.6, 
62,14,15.3, , , ,6.4, 
63,13.2,14.9, , , ,7.3, 
64,12.3,13.9, , , ,8.1, 
65,11.5,13.1, , , ,9, 
66,10.8,12.4, , , ,9.9, 
67,10.1,11.3, , , ,10.8, 
68,9.4,10.6, , , ,11.7, 
69,8.7,10.3, , , ,12.6, 
70,8.1,8.8, , , ,13.6, 
71,7.5,8.5, , , ,14.5, 
72,8.4,8.5, , , ,15.5, 
73,9.7,9.7, , , ,16.4, 
74,10.1,10.2, , , ,17.4, 
75,11,11, , , ,18.3, 
76,12.5,12.5, , , ,19.3, 
77,13.2,13.2, , , ,20.3, 
78,13.2,13.3, , , ,21.2, 
79,13.9,13.9, , , ,22.2, 
80,13.9,13.9, , , ,23.2, 
81,13.7,13.7, , , ,24.1, 
82,13.5,13.5, , , ,25.1, 
83,14.1,14.1, , , ,26.1, 
84,14.8,14.8, , , ,27, 
85,14.8,14.8, , , ,28, 
86,14.9,14.9, , , ,29, 
87,14.9,14.9, , , ,29.9, 
88,14.6,14.6, , , ,30.9, 
89,14.5,14.5, , , ,31.8, 
90,14.4,14.4, , , ,32.7, 
91,14,14, , , ,33.6, 
92,13.7,13.7, , , ,34.5, 
93,13.6,13.6, , , ,35.4, 
94,13.9,13.9, , , ,36.3, 
95,13.8,13.8, , , ,37.2, 
96,13.1,13.1, , , ,38, 
97,11.9,11.9, , , ,38.9, 
98,11.1,11.1, , , ,39.7, 
99,9.9,9.9, , , ,40.5, 
100,8.8,8.8, , , ,41.3, 
101,8.1,8.1, , , ,42.1, 
102,7.1,7.1, , , ,42.9, 
103,6.6,6.6, , , ,43.6, 
104,6.4,6.4, , , ,44.4, 
105,6.2,6.2, , , ,45.1, 
106,5.8,5.8, , , ,45.8, 
107,5.5,5.5, , , ,46.5, 
108,4.8,4.9, , , ,47.2, 
109,4.6,4.6, , , ,47.8, 
110,4.6,4.6, , , ,48.5, 
111,4.7,4.8, , , ,49.1, 
112,5.3,5.3, , , ,49.7, 
113,5.9,5.9, , , ,50.3, 
114,6.7,6.7, , , ,50.9, 
115,7.4,7.4, , , ,51.5, 
116,8.3,8.3, , , ,52, 
117,8.4,8.4,-1.7,7:45,8:45,52.6, 
118,8.3,8.3,-0.8,7:51,8:51,53.1, 
119,7.9,7.9,0,7:56,8:56,53.6, 
120,8.6,8.6,0.8,8:02,9:02,54.1, 
121,8.5,8.5,1.5,8:07,9:07,54.6, 
122,8.4,8.4,2.3,8:13,9:13,55, 
123,8.9,8.9,3.1,8:18,9:18,55.5, 
124,9.6,9.6,3.8,8:23,9:23,55.9, 
125,9.9,9.9,4.6,8:28,9:28,56.4,-0.7
126,10.2,10.2,5.3,8:34,9:34,56.8,0
127,11.1,11.1,6,8:39,9:39,57.2,0.7
128,11.4,11.5,6.7,8:44,9:44,57.6,1.5
129,11.7,11.7,7.3,8:49,9:49,57.9,2.2
130,11.6,11.6,8,8:54,9:54,58.3,2.9
131,11.5,11.5,8.6,8:59,9:59,58.7,3.5
132,11.3,11.3,9.3,9:04,10:04,59,4.2
133,11.2,11.2,9.9,9:09,10:09,59.3,4.8
134,11.6,11.6,10.5,9:14,10:14,59.7,5.5
135,11.9,11.9,11.1,9:19,10:19,60,6.1
136,11.8,11.8,11.6,9:23,10:23,60.3,6.7
137,12.1,12.1,12.2,9:28,10:28,60.6,7.3
138,12.8,12.9,12.7,9:33,10:33,60.8,7.8
139,13.8,13.8,13.2,9:38,10:38,61.1,8.4
140,14.6,14.6,13.8,9:42,10:42,61.4,8.9
141,14.8,14.8,14.3,9:47,10:47,61.6,9.5
142,14.4,14.5,14.7,9:51,10:51,61.9,10
143,13.6,13.6,15.2,9:56,10:56,62.1,10.5
144,12.3,12.3,15.7,10:00,11:00,62.3,10.9
145,11.3,11.3,16.1,10:05,11:05,62.6,11.4
146,11,11,16.5,10:09,11:09,62.8,11.9
147,11.4,11.4,16.9,10:14,11:14,63,12.3
148,11.5,11.5,17.3,10:18,11:18,63.2,12.7
149,11.7,11.7,17.7,10:23,11:23,63.4,13.1
150,12.3,12.3,18.1,10:27,11:27,63.5,13.5
151,12.9,12.9,18.4,10:31,11:31,63.7,13.9
152,13.5,13.5,18.8,10:35,11:35,63.9,14.3
153,13.6,13.6,19.1,10:40,11:40,64,14.6
154,13.5,13.5,19.4,10:44,11:44,64.2,15
155,13.1,13.1,19.7,10:48,11:48,64.3,15.3
156,13,13,20,10:52,11:52,64.5,15.6
157,12.3,12.4,20.3,10:56,11:56,64.6,15.9
158,11.6,11.6,20.6,11:01,12:01,64.7,16.2
159,10.8,10.8,20.8,11:05,12:05,64.8,16.4
160,9.5,9.5,21.1,11:09,12:09,65,16.7
161,8.9,8.9,21.3,11:13,12:13,65.1,16.9
162,8.3,8.3,21.5,11:17,12:17,65.2,17.2
163,8.1,8.1,21.7,11:21,12:21,65.3,17.4
164,7.6,7.6,21.9,11:25,12:25,65.4,17.6
165,7.2,7.2,22.1,11:29,12:29,65.4,17.8
